Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
791411,279389,false,-1.0,2,
632330,173334,false,-1.0,9,
607812,321012,false,-1.0,7,
348381,167633,false,-1.0,8,
582725,905447,false,-1.0,5,
336406,173905,false,-1.0,4,
390004,174475,false,-1.0,11,
334696,168774,false,-1.0,10,
683646,400837,false,-1.0,6,
342108,171624,false,-1.0,0,
599260,167063,false,-1.0,12,
411100,188160,false,-1.0,3,
336977,172195,false,-1.0,1,
610094,1013211,false,-1.0,13,
914570,982421,false,-1.0,14,
337547,167634,false,-1.0,15,
329564,887771,false,-1.0,16,
542242,418513,false,-1.0,17,
574172,915140,false,-1.0,20,
1006939,831893,false,-1.0,19,
419082,171625,false,-1.0,18,
297064,225222,false,-1.0,23,
321582,900885,false,-1.0,22,
453293,167063,false,-1.0,21,
295354,218379,false,-1.0,27,
298774,664831,false,-1.0,26,
292503,217239,false,-1.0,25,
327284,223511,false,-1.0,24,
634041,344959,false,-1.0,32,
311318,160220,false,-1.0,31,
309038,159650,false,-1.0,30,
619787,339257,false,-1.0,29,
429916,657418,false,-1.0,28,
299345,163642,false,-1.0,36,
387153,152808,false,-1.0,35,
303336,224081,false,-1.0,34,
2446075,519434,false,-1.0,33,
304476,870096,false,-1.0,39,
303336,317021,false,-1.0,38,
331845,160221,false,-1.0,37,
823341,1087335,false,-1.0,41,
4138371,451013,false,-1.0,40,
407109,158511,false,-1.0,42,
686498,221800,false,-1.0,43,
801104,1297161,false,-1.0,44,
817069,1621023,false,-1.0,45,
905447,1597646,false,-1.0,46,
588427,184168,false,-1.0,47,
972728,2747130,false,-1.0,48,
5489130,1060536,false,-1.0,49,
935096,1524093,false,-1.0,50,
765183,6473262,false,-1.0,51,
494347,180177,false,-1.0,52,
290792,210397,false,-1.0,53,
5542727,1082773,false,-1.0,54,
38036184,8889117,false,-1.0,55,
788560,1151194,false,-1.0,56,
444740,238336,false,-1.0,57,
294784,216669,false,-1.0,61,
929394,1468786,false,-1.0,60,
901456,1338214,false,-1.0,59,
370617,265134,false,-1.0,58,
516013,156230,false,-1.0,62,
1006939,4069379,false,-1.0,63,
1074220,1097028,false,-1.0,64,
4105872,1805192,false,-1.0,65,
824481,3344110,false,-1.0,66,
307897,217239,false,-1.0,67,
400266,1026896,false,-1.0,68,
2086291,976149,false,-1.0,69,
811367,1225889,false,-1.0,70,
736673,6185890,false,-1.0,71,
800534,1044000,false,-1.0,72,
743515,4523243,false,-1.0,73,
3974159,1025756,false,-1.0,74,
957903,1018913,false,-1.0,75,
668822,1077071,false,-1.0,76,
700752,943079,false,-1.0,77,
301055,212107,false,-1.0,78,
811367,990404,false,-1.0,79,
992684,1087904,false,-1.0,80,
317021,157940,false,-1.0,81,
15282553,907157,false,-1.0,82,
786849,983562,false,-1.0,83,
958474,1177994,false,-1.0,84,
835315,1138080,false,-1.0,85,
896895,1105010,false,-1.0,86,
890622,1177993,false,-1.0,87,
787420,1062817,false,-1.0,88,
937377,1421460,false,-1.0,89,
762902,3106915,false,-1.0,90,
847289,1157467,false,-1.0,91,
431627,221800,false,-1.0,92,
384301,274257,false,-1.0,93,
578163,1071939,false,-1.0,98,
310748,222370,false,-1.0,97,
294213,981281,false,-1.0,96,
622067,3674245,false,-1.0,95,
581584,461846,false,-1.0,94,
631190,407109,false,-1.0,102,
742375,1064527,false,-1.0,101,
289652,275397,false,-1.0,100,
776016,156800,false,-1.0,99,
630049,944790,false,-1.0,105,
289652,146537,false,-1.0,104,
319301,717287,false,-1.0,103,
294784,1625015,false,-1.0,108,
870096,960184,false,-1.0,107,
1116984,489785,false,-1.0,106,
293643,141404,false,-1.0,110,
588426,142545,false,-1.0,109,
620356,346670,false,-1.0,111,
289652,241757,false,-1.0,112,
1097598,1058825,false,-1.0,113,
285091,140834,false,-1.0,114,
289652,211537,false,-1.0,115,
785139,1110712,false,-1.0,116,
678515,275968,false,-1.0,117,
279959,486934,false,-1.0,118,
625489,212677,false,-1.0,119,
812507,1029747,false,-1.0,120,
1087335,1019483,false,-1.0,121,
772025,1108431,false,-1.0,122,
287941,163071,false,-1.0,123,
774876,1098168,false,-1.0,124,
359784,144826,false,-1.0,125,
317020,213818,false,-1.0,126,
900885,1089045,false,-1.0,127,
1001238,1367863,false,-1.0,128,
722419,3165073,false,-1.0,133,
303336,208686,false,-1.0,132,
3959334,7887880,false,-1.0,131,
813647,1078212,false,-1.0,130,
817069,1041150,false,-1.0,129,
277108,132282,false,-1.0,140,
293643,132282,false,-1.0,139,
290792,194431,false,-1.0,138,
829613,959614,false,-1.0,137,
279959,138554,false,-1.0,136,
358074,132852,false,-1.0,135,
296494,220660,false,-1.0,134,
277678,135132,false,-1.0,143,
441890,135703,false,-1.0,142,
421363,192721,false,-1.0,141,
722419,943079,false,-1.0,144,
817639,832464,false,-1.0,145,
796543,1026325,false,-1.0,146,
552505,795402,false,-1.0,147,
745797,1175713,false,-1.0,148,
681936,8253365,false,-1.0,149,
825622,973298,false,-1.0,150,
777727,1039440,false,-1.0,151,
280529,131142,false,-1.0,152,
813077,1375846,false,-1.0,153,
739525,975009,false,-1.0,154,
2897658,2554980,false,-1.0,155,
297635,134563,false,-1.0,156,
791411,979000,false,-1.0,157,
707024,465268,false,-1.0,158,
324433,168773,false,-1.0,159,
785139,923693,false,-1.0,160,
3482093,360354,false,-1.0,161,
1239003,956763,false,-1.0,162,
654567,441319,false,-1.0,163,
332415,132852,false,-1.0,164,
677945,359214,false,-1.0,165,
712726,844438,false,-1.0,166,
273117,131142,false,-1.0,167,
310748,627199,false,-1.0,168,
706454,973869,false,-1.0,169,
302196,132852,false,-1.0,170,
823341,1034878,false,-1.0,171,
520005,297635,false,-1.0,172,
530268,130571,false,-1.0,173,
1066238,1087335,false,-1.0,174,
775445,1011501,false,-1.0,175,
709304,472110,false,-1.0,176,
741235,952772,false,-1.0,177,
360354,132852,false,-1.0,178,
295923,130571,false,-1.0,179,
731542,951632,false,-1.0,180,
736674,981851,false,-1.0,181,
726410,1034308,false,-1.0,182,
3803676,35449844,false,-1.0,183,
3602971,1459093,false,-1.0,184,
1050272,2151292,false,-1.0,185,
764612,1018913,false,-1.0,186,
683647,752638,false,-1.0,187,
810227,986413,false,-1.0,188,
948781,1348477,false,-1.0,189,
269696,145966,false,-1.0,190,
771455,4507278,false,-1.0,191,
1242423,1393522,false,-1.0,192,
484084,136273,false,-1.0,193,
828473,981281,false,-1.0,194,
982991,1214485,false,-1.0,195,
923693,3691350,false,-1.0,196,
447022,132282,false,-1.0,197,
258292,776586,false,-1.0,198,
274257,131142,false,-1.0,199,
267414,128861,false,-1.0,200,
708165,4766711,false,-1.0,201,
716147,2824675,false,-1.0,202,
284520,132852,false,-1.0,203,
968167,1065668,false,-1.0,204,
734963,1107861,false,-1.0,205,
789130,930535,false,-1.0,206,
668822,903736,false,-1.0,207,
1560015,1047422,false,-1.0,208,
924833,1066808,false,-1.0,209,
279388,195572,false,-1.0,210,
990974,911149,false,-1.0,211,
5251935,209257,false,-1.0,212,
437328,127150,false,-1.0,213,
691629,803384,false,-1.0,214,
